r_seed=1,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Y Velocity[A/fs],  -0.317473,   0.320733,   0.332472,  -0.325051,  -0.789092,  -0.116807,  -0.057481,   0.128432,   0.770742,   0.778237,   0.176638,  -0.797257,  -0.116630,  -0.058149, 
Z Velocity[A/fs],   0.103538,  -0.288756,   0.282451,  -0.111352,  -0.303012,   0.776409,  -0.261668,  -0.867000,   0.102112,  -0.157010,   0.857791,   0.252865,  -0.781776,   0.286619,  
Speed[A/fs],   0.505398,   0.491017,   0.504972,   0.507009,   0.853492,   0.875350,   0.898478,   0.880736,   0.908657,   0.921547,   0.883651,   0.843150,   0.890889,   0.893234,  
 
r_seed=18,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  22.241000,  26.041000,  25.064000,  21.774000,  10.177000,  10.554000,   9.163000,   9.462000,  10.315000,   9.980000,   9.631000,  10.030000,  10.800000,   9.229000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.376303,  -0.240601,   0.235323,   0.384646,  -0.122730,  -0.382991,  -0.866042,  -0.110284,  -0.484983,   0.450457,   0.102145,   0.113816,   0.406061,   0.864310,  
Y Velocity[A/fs],  -0.318594,   0.316108,   0.330377,  -0.315694,  -0.793537,  -0.146176,  -0.035943,   0.093778,   0.770297,   0.790650,   0.168900,  -0.802898,  -0.104708,  -0.078271, 
Z Velocity[A/fs],   0.116076,  -0.300559,   0.288367,  -0.089983,  -0.250088,   0.782449,  -0.243492,  -0.869160,   0.085212,  -0.115229,   0.858276,   0.242154,  -0.763755,   0.261517,  
Speed[A/fs],   0.506537,   0.498145,   0.497676,   0.505680,   0.841016,   0.883333,   0.900339,   0.881133,   0.914236,   0.917233,   0.880681,   0.846308,   0.871304,   0.906393,  
 
r_seed=19,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    3.9930000000,    3.9910000000,    3.9850000000,    3.9950000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,    1.0000000000,  
Time[fs],  21.879000,  25.166000,  25.810000,  22.491000,   9.988000,  10.605000,   9.311000,   9.363000,   9.855000,  10.313000,   9.494000,  10.312000,  10.715000,   9.497000,  
Charge Sum,   25.9640000000, 
X Velocity[A/fs],  -0.382637,  -0.244274,   0.249376,   0.372462,  -0.102204,  -0.353897,  -0.861940,  -0.134080,  -0.426645,   0.468050,   0.123670,   0.119521,   0.398128,   0.847712,  
Y Velocity[A/fs],  -0.318100,   0.328702,   0.319899,  -0.325230,  -0.807626,  -0.138982,  -0.054716,   0.181123,   0.803112,   0.774026,   0.161443,  -0.782181,  -0.162142,  -0.004317, 
Z Velocity[A/fs],   0.102011,  -0.278454,   0.285659,  -0.117338,  -0.221781,   0.780746,  -0.238197,  -0.869107,   0.104650,  -0.126486,   0.866256,   0.296737,  -0.774224,   0.272101,  
