r_seed=3,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.159606,  -0.198171,   0.028826,   0.243136,   0.080775,   0.028603,   0.881934,   0.166155,  
Y Velocity[A/fs],   0.088376,  -0.086280,  -0.217191,  -0.024012,   0.228908,  -0.877416,  -0.080375,   0.865572, 
Z Velocity[A/fs],   0.009175,  -0.014220,   0.004912,   0.020920,  -0.005751,   0.006663,   0.002986,  -0.021819,  
Speed[A/fs],   0.182670,   0.216606,   0.219150,   0.245212,   0.242810,   0.877908,   0.885594,   0.881646,  
 
r_seed=19,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
Charges,    1.1163752074,    1.1146224438,    1.3832127996,    1.5146735286,    1.5042430298,    0.9998400160,    0.9996693414,    0.9998413598,  
Time[fs], 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000, 120.000000,  
Charge Sum,    9.6324777264, 
X Velocity[A/fs],  -0.162884,  -0.190553,   0.029729,   0.236125,   0.083670,   0.069335,   0.874060,   0.113381,  
Y Velocity[A/fs],   0.092393,  -0.084160,  -0.227574,  -0.024534,   0.229692,  -0.878082,  -0.091835,   0.869557, 
Z Velocity[A/fs],  -0.005931,   0.010867,  -0.007913,  -0.011888,   0.017148,  -0.005942,   0.051791,  -0.079778,  
Speed[A/fs],   0.187357,   0.208593,   0.229644,   0.237694,   0.245057,   0.880835,   0.880396,   0.880539,  
 
r_seed=20,   O[0],   N[1],   C[2],   C[3],   C[4],   H[5],   H[6],   H[7],  
