C4H10_14r45,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Time[fs],  65.799000,  68.371000,  73.140000,  67.250000,  28.341000,  30.524000,  27.169000,  28.240000,  28.622000,  29.525000,  28.270000,  29.922000,  30.370000,  27.090000,  
Charge Sum,   17.5174735609, 
X Velocity[A/fs],  -0.183938,  -0.112419,   0.098100,   0.177342,  -0.195524,  -0.587627,  -0.832847,  -0.025882,  -0.532485,   0.566845,  -0.027994,   0.181520,   0.505084,   0.840430,  
Y Velocity[A/fs],  -0.160812,   0.167544,   0.150001,  -0.151764,  -0.813240,  -0.220969,  -0.060656,   0.189322,   0.738234,   0.702730,   0.230642,  -0.705994,  -0.248265,  -0.068141, 
Z Velocity[A/fs],   0.030689,  -0.130187,   0.149533,  -0.041509,  -0.350769,   0.684000,  -0.216447,  -0.876524,   0.044655,  -0.130649,   0.846072,   0.532652,  -0.709967,   0.254776,  
Speed[A/fs],   0.246243,   0.240121,   0.233418,   0.237077,   0.906989,   0.928434,   0.862648,   0.897110,   0.911330,   0.912257,   0.877392,   0.902826,   0.905979,   0.880838,  
 
C4H10_14r26,   C[0],   C[1],   C[2],   C[3],   H[4],   H[5],   H[6],   H[7],   H[8],   H[9],   H[10],   H[11],   H[12],   H[13],  
Charges,    1.8469321728,    1.7372219563,    1.6185677052,    1.8738393784,    0.9991809761,    0.9972602017,    0.9512799941,    0.9991141254,    0.9997651213,    0.9989308404,    0.9976683075,    0.9946201509,    0.9995531526,    0.9996995237,  
Time[fs],  67.094000,  72.960000,  70.136000,  68.355000,  28.740000,  30.137000,  26.824000,  28.132000,  28.926000,  29.238000,  28.434000,  28.774000,  30.096000,  26.900000,  
Charge Sum,   17.0136336063, 
X Velocity[A/fs],  -0.175227,  -0.094085,   0.101102,   0.170891,  -0.211053,  -0.467603,  -0.828888,  -0.082006,  -0.514777,   0.523777,  -0.011494,   0.203137,   0.439729,   0.853708,  
Y Velocity[A/fs],  -0.144753,   0.151710,   0.158465,  -0.148234,  -0.773268,  -0.269882,  -0.008358,   0.170012,   0.731950,   0.718116,   0.231739,  -0.761242,  -0.302238,   0.035368, 
